,Eligibility criteria filters for Onboarding & Adoption Topics ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: We've migrated Datagrpah eligibility table from Lucid (now deprecated — reference only) to this spreadsheet, which is now the source of truth going forward.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Adoption Eligibility filters,,,,,,,,,,,,Onboarding Eligibility filters,,,,,,,,,,
"Cloud ->
v Field / Attribute v",Sales,Service,Sales and Service,FINS,Agentforce & DataCloud,Marketing Cloud Next,Marketing Cloud Account Engagement,Commerce,Revenue Cloud,Tableau,Field Service,,Sales,Service,Sales and Service,Agentforce & DataCloud,FINS,Marketing Cloud Next,Marketing Cloud Account Engagement,Commerce,Revenue Cloud,Tableau,Field Service
Contract Status,= Activated,= Activated,= Activated,= Activated,,,,,,,,,= Activated,= Activated,= Activated,,,,,,,,
Order status,"= Activated , Provisioned","= Activated , Provisioned","= Activated , Provisioned","= Activated , Provisioned",,,,,,,,,"= Activated, Provisioned","= Activated, Provisioned","= Activated , Provisioned",,,,,,,,
Available Qty,>0,>0,>0,>0,,,,,,,,,>0,>0,>0,,,,,,,,
Cloud,= Sales,-,,,,,,,,,,,= Sales,—,-,,,,,,,,
L1 (Business Line),"Business Line '= Sales, Cross Cloud Allocations",Business Line '= Service,Cross Cloud Allocations,"=Cross Cloud Allocations, Sales, Service",,=Marketing,=Marketing,,,,,,"= Sales, Cross Cloud Allocations",= Service,=Cross Cloud Allocations,,,,,,,,
L2 (Product Line),Prod Line '= Sales Cloud,Prod Line '= Service Cloud,Sales & Service Cloud,"=Einstein 1 Edition, Financial Services Cloud, Revenue Intelligence, Sales Cloud,Service Cloud",,=Marketing on Core,=Account Engagement,,,,,,= Sales Cloud,= Service Cloud,=Sales & Service Cloud,,,,,,,,
L3 Prod Family,Prod Family '= Sales Cloud,"Prod Family ≠ Desk, Govt Case Connect",Sales & Service Cloud,"=Financial Services Cloud, Financial Services Cloud - Bank Teller
,Financial Services Cloud - Embedded Starter
,Financial Services Cloud - Sales
,Financial Services Cloud - Sales & Service
,Financial Services Cloud - Sales - Einstein 1 Edition
,Financial Services Cloud - Service
,Financial Services Cloud - Service - Einstein 1 Edition
,Financial Services Cloud - Starter
,Revenue Intelligence
,Revenue Intelligence + Tableau",,=Marketing on Core - Editions,= Account Engagement - Editions,,,,,,= Sales Cloud,"≠ Desk, Govt Case Connect",=Sales & Service Cloud,,,,,,,,
L4,,,,,,"=Marketing on Core - Advanced, Marketing on Core - Growth","=Account Engagement - Advanced, Account Engagement - Growth, Account Engagement - Plus, Account Engagement - Premium",,,,,,,,,,,,,,,,
Order start date,">90 OR (Order Start Date <'= 90 days AND Order Type '= Add, Courtesy, Courtesy Renew, Renew, Auto Renew, Renewal, Auto Renewal)",">90 OR (Order Start Date <'= 90 days AND Order Type '= Add, Courtesy, Courtesy Renew, Renew, Auto Renew, Renewal, Auto Renewal)",">90 OR (Order Start Date <'= 90 days AND Order Type '= Add, Courtesy, Courtesy Renew, Renew, Auto Renew, Renewal, Auto Renewal)",">90 OR (Order Start Date <'= 90 days AND Order Type '= Add, Courtesy, Courtesy Renew, Renew, Auto Renew, Renewal, Auto Renewal)",,,,,,,,,<=90,<=90,<=90,,,,,,,,
Order type,"~~≠ Add, Courtesy, Courtesy Renew, Renew, Auto Renew, Renewal, Auto Renewal~~","~~≠ Add, Courtesy, Courtesy Renew, Renew, Auto Renew, Renewal, Auto Renewal~~","~~≠ Add, Courtesy, Courtesy Renew, Renew, Auto Renew, Renewal, Auto Renewal~~","~~≠ Add, Courtesy, Courtesy Renew, Renew, Auto Renew, Renewal, Auto Renewal~~",,,,,,,,,"≠ Add, Courtesy, Courtesy Renew, Renew, Auto Renew, Renewal, Auto Renewal","≠ Add, Courtesy, Courtesy Renew, Renew, Auto Renew, Renewal, Auto Renewal","≠ Add, Courtesy, Courtesy Renew, Renew, Auto Renew, Renewal, Auto Renewal",,,,,,,,
Product Line,"≠ Finance, health",,?,"=Analytics, Financial Services, Sales Force Automation,Service & Support",,=Marketing,=Pardot,,,,,," ≠ Finance, health",,?,,,,,,,,
